2023-01-03T15:10Z INFO main | START /C:/Outils/java-agent/nudge-3.6.1.jar
2023-01-03T15:10Z INFO main | CONFIG C:\Outils\java-agent\nudge.properties
2023-01-03T15:10Z INFO main | LOG C:\Outils\java-agent\log\nudge.log
2023-01-03T15:10Z INFO main | Version 3.6.1
2023-01-03T15:10Z SEVERE main | config app_id = b05bf3f0-18fc-46a2-923a-c206ac11e703 (mandatory)
2023-01-03T15:10Z SEVERE main | config server_url = [http://localhost:8081] (default = [])
2023-01-03T15:10Z SEVERE main | config compressed = false (default = true)
2023-01-03T15:10Z SEVERE main | config upload_config = true (default = false)
2023-01-03T15:10Z SEVERE main | config log_level = FINE (default = INFO)
2023-01-03T15:10Z SEVERE main | config capture_params = true (default = false)
2023-01-03T15:10Z SEVERE main | config capture_headers = true (default = false)
2023-01-03T15:10Z SEVERE main | config http_client_ip = true (default = false)
2023-01-03T15:10Z SEVERE main | config excluded_classpath = [jdk/proxy2] (default = [])
2023-01-03T15:10Z SEVERE main | config activate_rum = true (default = false)
2023-01-03T15:10Z SEVERE main | config log_servlet_contextlistener = true (default = false)
2023-01-03T15:10Z INFO main | Orchestrator STARTED
2023-01-03T15:10Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$2 (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - jdk/internal/util/EnvUtils (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$1 (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | ignored class : sun/security/util/ManifestEntryVerifier (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/catalina/startup/Bootstrap (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - java/net/MalformedURLException (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/juli/logging/LogFactory (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/juli/logging/LogConfigurationException (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/juli/logging/Log (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/juli/logging/DirectJDKLog (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - java/util/regex/Pattern$GroupCurly (BootstrapClassLoader)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/catalina/startup/CatalinaProperties (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/catalina/startup/ClassLoaderFactory$Repository (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/catalina/startup/ClassLoaderFactory$RepositoryType (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
2023-01-03T15:10Z FINE main | checking instrumentability for - org/apache/catalina/startup/ClassLoaderFactory (jdk.internal.loader.ClassLoaders_AppClassLoader_266474c2)
