2023-01-04T14:34Z INFO main | START /C:/Outils/java-agent/nudge-3.6.1.jar
2023-01-04T14:34Z INFO main | CONFIG C:\Outils\java-agent\nudge.properties
2023-01-04T14:34Z INFO main | LOG C:\Outils\java-agent\log\nudge.log
2023-01-04T14:34Z INFO main | Version 3.6.1
2023-01-04T14:34Z SEVERE main | config app_id = b05bf3f0-18fc-46a2-923a-c206ac11e703 (mandatory)
2023-01-04T14:34Z SEVERE main | config server_url = [http://localhost:8081] (default = [])
2023-01-04T14:34Z SEVERE main | config compressed = false (default = true)
2023-01-04T14:34Z SEVERE main | config upload_config = true (default = false)
2023-01-04T14:34Z SEVERE main | config log_level = FINE (default = INFO)
2023-01-04T14:34Z SEVERE main | config capture_params = true (default = false)
2023-01-04T14:34Z SEVERE main | config capture_headers = true (default = false)
2023-01-04T14:34Z SEVERE main | config http_client_ip = true (default = false)
2023-01-04T14:34Z SEVERE main | config excluded_classpath = [jdk/proxy2] (default = [])
2023-01-04T14:34Z SEVERE main | config activate_rum = true (default = false)
2023-01-04T14:34Z SEVERE main | config log_servlet_contextlistener = true (default = false)
2023-01-04T14:34Z INFO main | Orchestrator STARTED
2023-01-04T14:34Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/management/Agent (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/management/jmxremote/ConnectorBootstrap (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | ignored class : com/sun/jmx/remote/util/ClassLogger (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Logger (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/lang/Package$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/jar/JarInputStream (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/zip/ZipInputStream (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/io/PushbackInputStream (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/zip/ZipUtils (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Handler (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Level (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Level$KnownLevel (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Logger$LoggerBundle (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/CopyOnWriteArrayList (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | ignored class : java/security/BasicPermissionCollection (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/ClassLoaderLogManager (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/lang/IllegalStateException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/ClassLoaderLogManager$Cleaner (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | ignored class : java/security/AccessControlException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/lang/SecurityException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/ClassLoaderLogManager$RootLogger (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/function/Supplier (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/lang/invoke/InnerClassLambdaMetafactory$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | ignored class : java/lang/ThreadLocal$SuppliedThreadLocal (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$SystemLoggerContext (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$LoggerContext (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$LogNode (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LoggingPermission (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$Cleaner (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$2 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LogManager$3 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/WebappProperties (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/net/URLClassLoader$2 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/ClassLoaderLogManager$ClassLoaderLogInfo (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/ClassLoaderLogManager$LogNode (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/AsyncFileHandler (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/FileHandler (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReadWriteLock (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/DateTimeException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/chrono/ChronoLocalDate (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/temporal/Temporal (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/temporal/TemporalAccessor (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/temporal/TemporalAdjuster (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/time/temporal/TemporalUnit (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/lang/NumberFormatException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/io/UnsupportedEncodingException (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/Formatter (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/OneLineFormatter (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/FileHandler$1 (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/Executors$FinalizableDelegatedExecutorService (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/Executors$DelegatedExecutorService (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/LinkedBlockingDeque (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/BlockingDeque (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/AsyncFileHandler$LoggerThread (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/ErrorManager (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$NonfairSync (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$Sync (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/sql/Timestamp (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/regex/Pattern$Dollar (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/io/StringWriter (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/OneLineFormatter$IndentingPrintWriter (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/OneLineFormatter$ThreadNameCache (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/OneLineFormatter$MillisHandling (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/DateFormatCache (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - org/apache/juli/DateFormatCache$Cache (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/resources/en/CalendarData_en (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/text/resources/en/FormatData_en (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/text/resources/en/FormatData_en_US (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/resources/en/CurrencyNames_en_US (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - com/intellij/rt/debugger/agent/CaptureStorage$HardKey (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/LocalDate (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/ConsoleHandler (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/temporal/ChronoField (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/StreamHandler (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/temporal/TemporalField (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/SimpleFormatter (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/LoggingSupport (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/temporal/ChronoUnit (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/LoggingSupport$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - java/util/logging/LoggingProxyImpl (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/Duration (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/LoggingProxy (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/temporal/TemporalAmount (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/reflect/UnsafeQualifiedStaticObjectFieldAccessorImpl (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/util/regex/Pattern$SingleI (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/util/regex/Pattern$3 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/reflect/UnsafeQualifiedStaticFieldAccessorImpl (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/temporal/ValueRange (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/LoggingSupport$2 (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/Clock (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/Clock$SystemClock (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/ZoneId (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger$Level (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/ZoneRegion (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger$DefaultLoggerProxy (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/zone/ZoneRulesProvider (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/zone/ZoneRulesProvider$1 (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger$LoggerProxy (BootstrapClassLoader)
2023-01-04T14:34Z FINE main | checking instrumentability for - sun/util/logging/PlatformLogger$JavaLoggerProxy (BootstrapClassLoader)
2023-01-04T14:34Z FINE FileHandlerLogFilesCleaner-1 | checking instrumentability for - java/time/zone/TzdbZoneRulesProvider (BootstrapClassLoader)
