2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/message/HeaderGroup (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/Header (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/AbstractParser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/message/BasicHeader (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/Parser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/RequestBuilder$InternalEntityEclosingRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpEntityEnclosingRequestBase (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/ExtensionRegistryLite (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/HttpEntityEnclosingRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/HttpRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/UnknownFieldSet (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/HttpMessage (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/UnknownFieldSet$Parser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpRequestBase (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpUriRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ServerConfig (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/AbstractExecutionAwareRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/HttpExecutionAware (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ServerConfigOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/AbortableHttpRequest (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/message/AbstractHttpMessage (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/utils/URIUtils (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$ServerConfig$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/HttpHost (BootstrapClassLoader)
