2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/EOFException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$DataInputStream (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$FileAccess (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/RandomAccessFile (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/DataOutput (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/AbstractJarFile$JarFileType (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryParser (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/ZipInflaterInputStream (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries$1 (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFile$1 (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryEndRecord (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/Bytes (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryEndRecord$Zip64Locator (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries$Offsets (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries$ZipOffsets (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryFileHeader (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalUnit (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/function/Supplier (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/ExplodedArchive (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/net/MalformedURLException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarURLConnection (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive$NestedArchiveIterator (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive$AbstractIterator (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries$EntryIterator (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/NoSuchElementException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive$JarFileEntry (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/ChronoField (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalField (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/ChronoUnit (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/Duration (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalAmount (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/regex/Pattern$SingleI (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/regex/Pattern$3 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/ValueRange (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/ZoneId (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/ZoneRegion (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneRulesProvider (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/concurrent/CopyOnWriteArrayList (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneRulesProvider$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/TzdbZoneRulesProvider (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/Ser (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/Externalizable (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneRules (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneOffsetTransitionRule (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/LocalDateTime (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/Temporal (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalAccessor (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalAdjuster (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/ChronoLocalDateTime (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/ZoneOffset (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/Month (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/DayOfWeek (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneOffsetTransitionRule$TimeDefinition (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/LocalTime (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneOffsetTransition (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/LocalDate (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/ChronoLocalDate (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/IsoChronology (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/AbstractChronology (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/Chronology (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/chrono/ChronoZonedDateTime (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/ZonedDateTime (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/temporal/TemporalAdjusters (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/LocalDate$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/zone/ZoneOffsetTransitionRule$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/time/Instant (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/zip/ZipUtils (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarEntryFilter (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/StringSequence (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/lang/AssertionError (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/MainMethodRunner (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarURLConnection$1 (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileWrapper (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarURLConnection$JarEntryName (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/UnsupportedEncodingException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/lang/StringIndexOutOfBoundsException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/misc/URLClassPath$Loader$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/samples/petclinic/PetClinicApplication (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/lang/Package$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/jar/JarInputStream (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/util/zip/ZipInputStream (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/PushbackInputStream (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/SpringApplication (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/ConfigurableBootstrapContext (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/BootstrapRegistry (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/BootstrapContext (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/ApplicationArguments (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/context/ApplicationContext (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/core/env/EnvironmentCapable (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/beans/factory/ListableBeanFactory (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/beans/factory/BeanFactory (org.springframework.boot.loader.LaunchedURLClassLoader_1060b431)
